Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),L*,a*,b*
145,887,A,1,H,1,20.9,0.209,25.735,4.580353555,12.06084401
145,887,A,1,H,1,20.96,0.21,26.332,4.585418783,11.91165055
145,887,A,1,H,1,21.02,0.21,26.611,4.588487412,11.74846047
145,887,A,1,H,1,21.08,0.211,26.692,4.595559443,11.58427378
145,887,A,1,H,1,21.14,0.211,26.956,4.585634875,11.38509048
145,887,A,1,H,1,21.2,0.212,27.375,4.566713709,11.18591056
145,887,A,1,H,1,21.25,0.213,27.889,4.528282002,10.98326322
145,887,A,1,H,1,21.31,0.213,28.338,4.427367072,10.6600895
145,887,A,1,H,1,21.37,0.214,28.622,4.317455543,10.36691918
145,887,A,1,H,1,21.43,0.214,28.882,4.227547415,10.11775224
145,887,A,1,H,1,21.55,0.215,28.946,4.158741363,9.842428524
145,887,A,1,H,1,21.49,0.215,29.014,4.175642688,9.95558869
145,887,A,1,H,1,21.6,0.216,28.871,4.186326191,9.861797638
145,887,A,1,H,1,21.72,0.217,28.607,4.317539414,10.18449311
145,887,A,1,H,1,21.66,0.217,28.794,4.241431102,9.96364368
145,887,A,1,H,1,21.78,0.218,28.579,4.455651128,10.53634592
145,887,A,1,H,1,21.84,0.218,28.624,4.599766243,10.91020212
145,887,A,1,H,1,21.9,0.219,28.68,4.734884759,11.30606171
145,887,A,1,H,1,22.01,0.22,28.533,4.963610873,11.99831307
145,887,A,1,H,1,21.95,0.22,28.553,4.850486121,11.70544728
145,887,A,1,H,1,22.13,0.221,28.396,5.098870582,12.30305482
145,887,A,1,H,1,22.07,0.221,28.542,5.029739027,12.20218225
145,887,A,1,H,1,22.25,0.222,28.072,5.171143896,12.15981011
145,887,A,1,H,1,22.19,0.222,28.273,5.164005538,12.32293077
145,887,A,1,H,1,22.3,0.223,27.862,5.161761793,12.10021214
145,887,A,1,H,1,22.42,0.224,27.172,5.147054381,11.99198662
145,887,A,1,H,1,22.36,0.224,27.53,5.155906386,12.04309769
145,887,A,1,H,1,22.54,0.225,26.757,5.101360575,11.86777464
145,887,A,1,H,1,22.48,0.225,26.954,5.131205778,11.93587894
145,887,A,1,H,1,22.6,0.226,26.49,5.066518775,11.78867373
145,887,A,1,H,1,22.71,0.227,26.181,4.97031764,11.56299752
145,887,A,1,H,1,22.65,0.227,26.258,5.017153205,11.69209223
145,887,A,1,H,1,22.83,0.228,26.076,4.990656715,11.60681828
145,887,A,1,H,1,22.77,0.228,26.082,4.985485477,11.57490621
145,887,A,1,H,1,22.95,0.229,25.962,5.050009394,11.77265258
145,887,A,1,H,1,22.89,0.229,26.023,5.011831354,11.66873373
145,887,A,1,H,1,23.01,0.23,26.014,5.090190836,11.9065748
145,887,A,1,H,1,23.06,0.231,26.148,5.138844636,12.07601258
145,887,A,1,H,1,23.12,0.231,26.238,5.204032314,12.28694102
145,887,A,1,H,1,23.18,0.232,26.421,5.261223393,12.51887284
145,887,A,1,H,1,23.24,0.232,26.638,5.260417874,12.67780804
145,887,A,1,H,1,23.3,0.233,26.765,5.261615755,12.79274664
145,887,A,1,H,1,23.36,0.234,26.927,5.249817039,12.89568862
145,887,A,1,H,1,23.41,0.234,27.009,5.228487373,12.96414285
145,887,A,1,H,1,23.53,0.235,27.143,5.187905813,13.00804262
145,887,A,1,H,1,23.47,0.235,27.183,5.196694892,13.00409104
145,887,A,1,H,1,23.65,0.236,26.818,5.114337858,12.88495592
145,887,A,1,H,1,23.59,0.236,26.954,5.164120135,12.97399758
145,887,A,1,H,1,23.71,0.237,26.754,5.103558983,12.87991765
145,887,A,1,H,1,23.76,0.238,26.848,5.100245851,12.88038835
145,887,A,1,H,1,23.82,0.238,26.851,5.119473212,12.89035629
145,887,A,1,H,1,23.88,0.239,26.853,5.149703974,12.91132761
145,887,A,1,H,1,23.94,0.239,26.962,5.171938137,12.92730233
145,887,A,1,H,1,24,0.24,26.999,5.208175702,12.94128042
145,887,A,1,H,1,24.06,0.241,27.133,5.242416668,12.93926191
145,887,A,1,H,1,24.11,0.241,27.335,5.286120071,12.90274906
145,887,A,1,H,1,24.17,0.242,27.302,5.318367273,12.91973676
145,887,A,1,H,1,24.23,0.242,27.359,5.345617876,12.93172783
145,887,A,1,H,1,24.29,0.243,27.538,5.381871881,12.9277223
145,887,A,1,H,1,24.35,0.243,27.858,5.404129287,12.93572015
145,887,A,1,H,1,24.41,0.244,28.214,5.430390094,12.93572138
145,887,A,1,H,1,24.46,0.245,28.364,5.437110032,12.960225
145,887,A,1,H,1,24.52,0.245,28.602,5.426377076,12.97123244
145,887,A,1,H,1,24.58,0.246,28.89,5.41664752,12.86724327
145,887,A,1,H,1,24.64,0.246,28.995,5.417921366,12.82825749
145,887,A,1,H,1,24.7,0.247,28.99,5.406198614,12.83927509
145,887,A,1,H,1,24.82,0.248,29.019,5.307763313,12.94032045
145,887,A,1,H,1,24.76,0.248,29.033,5.361479262,12.88029608
145,887,A,1,H,1,24.93,0.249,29.017,5.179792905,13.12887393
145,887,A,1,H,1,24.87,0.249,29.073,5.251502619,13.02784335
145,887,A,1,H,1,24.99,0.25,29.013,5.099086593,13.2419079
145,887,A,1,H,1,25.05,0.25,29.101,5.012383682,13.36294525
145,887,A,1,H,1,25.11,0.251,29.227,4.920684172,13.50998599
145,887,A,1,H,1,25.22,0.252,29.227,4.764743904,13.85256948
145,887,A,1,H,1,25.17,0.252,29.288,4.835988063,13.67403012
145,887,A,1,H,1,25.28,0.253,29.3,4.681054032,14.02761981
145,887,A,1,H,1,25.34,0.253,29.5,4.594367561,14.18367353
145,887,A,1,H,1,25.4,0.254,29.581,4.526684491,14.33973064
145,887,A,1,H,1,25.46,0.255,29.645,4.466004822,14.48779113
